Location,Latitude,Longitude
Queen Elizabeth Hospital,22.30906146247149, 114.1743018372152
Kwong Wah Hospital,22.315581387758485, 114.17246985150628
Kowloon Hospital,22.32521539754405, 114.18149392501816
Sanit Teresa's Hospital,22.32672219522255, 114.18497902231286
United Christian Hospital,22.324228519347365, 114.22696000524307
Precious Blood Hospital,22.335307576219005, 114.16210465960177
Union Hospital,22.36197491911313, 114.17541493524213
Ruttonjee Hospital,22.279008527996144, 114.17556366433945

